indice,canal,tensao
80000,0,1.630591
80001,1,1.630589
80002,2,1.630542
80003,3,1.624919
80004,4,1.624944
80005,5,1.624925
80006,6,1.623054
80007,7,1.623023
80008,0,1.630598
80009,1,1.630573
80010,2,1.630531
80011,3,1.624924
80012,4,1.624935
80013,5,1.624922
80014,6,1.623054
80015,7,1.623040
80016,0,1.630586
80017,1,1.630562
80018,2,1.630531
80019,3,1.624945
80020,4,1.624939
80021,5,1.624919
80022,6,1.623052
80023,7,1.623042
80024,0,1.630566
80025,1,1.630561
80026,2,1.630553
80027,3,1.624938
80028,4,1.624939
80029,5,1.624917
80030,6,1.623064
80031,7,1.623048
80032,0,1.630546
80033,1,1.630536
80034,2,1.630569
80035,3,1.624940
80036,4,1.624943
80037,5,1.624923
80038,6,1.623074
80039,7,1.623026
80040,0,1.630544
80041,1,1.630536
80042,2,1.630570
80043,3,1.624945
80044,4,1.624947
80045,5,1.624938
80046,6,1.623060
80047,7,1.623006
80048,0,1.630522
80049,1,1.630549
80050,2,1.630558
80051,3,1.624939
80052,4,1.624938
80053,5,1.624951
80054,6,1.623047
80055,7,1.622986
80056,0,1.630533
80057,1,1.630558
80058,2,1.630565
80059,3,1.624942
80060,4,1.624958
80061,5,1.624954
80062,6,1.623036
80063,7,1.622982
80064,0,1.630539
80065,1,1.630561
80066,2,1.630573
80067,3,1.624944
80068,4,1.624968
80069,5,1.624935
80070,6,1.623027
80071,7,1.622968
80072,0,1.630549
80073,1,1.630569
80074,2,1.630557
80075,3,1.624961
80076,4,1.624981
80077,5,1.624925
80078,6,1.623010
80079,7,1.622987
80080,0,1.630559
80081,1,1.630554
80082,2,1.630540
80083,3,1.624963
80084,4,1.624961
80085,5,1.624904
80086,6,1.623002
80087,7,1.622992
80088,0,1.630556
80089,1,1.630557
80090,2,1.630573
80091,3,1.624973
80092,4,1.624950
80093,5,1.624874
80094,6,1.623003
80095,7,1.623008
80096,0,1.630555
80097,1,1.630552
80098,2,1.630592
80099,3,1.624957
80100,4,1.624927
80101,5,1.624878
80102,6,1.623029
80103,7,1.623005
80104,0,1.630562
80105,1,1.630558
80106,2,1.630592
80107,3,1.624954
80108,4,1.624915
80109,5,1.624871
80110,6,1.623021
80111,7,1.623017
80112,0,1.630561
80113,1,1.630582
80114,2,1.630582
80115,3,1.624935
80116,4,1.624893
80117,5,1.624897
80118,6,1.623033
80119,7,1.623004
80120,0,1.630551
80121,1,1.630586
80122,2,1.630582
80123,3,1.624916
80124,4,1.624900
80125,5,1.624904
80126,6,1.623039
80127,7,1.622998
80128,0,1.630571
80129,1,1.630591
80130,2,1.630555
80131,3,1.624911
80132,4,1.624923
80133,5,1.624911
80134,6,1.623035
80135,7,1.623007
80136,0,1.630588
80137,1,1.630587
80138,2,1.630548
80139,3,1.624902
80140,4,1.624940
80141,5,1.624908
80142,6,1.623039
80143,7,1.623011
80144,0,1.630599
80145,1,1.630571
80146,2,1.630524
80147,3,1.624908
80148,4,1.624936
80149,5,1.624916
80150,6,1.623029
80151,7,1.623036
80152,0,1.630582
80153,1,1.630555
80154,2,1.630528
