indice,canal,tensao
0,0,1.629564
1,1,1.629613
2,2,1.629581
3,3,1.629831
4,4,1.629728
5,5,1.629683
6,6,1.629736
7,7,1.629653
8,0,1.629723
9,1,1.629761
10,2,1.629896
11,3,1.629696
12,4,1.629848
13,5,1.629725
14,6,1.629840
15,7,1.629704
16,0,1.629881
17,1,1.629744
18,2,1.629838
19,3,1.629772
20,4,1.629849
21,5,1.629806
22,6,1.629781
23,7,1.629680
24,0,1.629755
25,1,1.629619
26,2,1.629875
27,3,1.629769
28,4,1.629780
29,5,1.629809
30,6,1.629700
31,7,1.629805
32,0,1.629690
33,1,1.629900
34,2,1.629708
35,3,1.629868
36,4,1.629723
37,5,1.629755
38,6,1.629690
39,7,1.629664
40,0,1.629640
41,1,1.630184
42,2,1.629472
43,3,1.629694
44,4,1.630024
45,5,1.629561
46,6,1.629848
47,7,1.630123
48,0,1.629791
49,1,1.629721
50,2,1.629886
51,3,1.629719
52,4,1.629843
53,5,1.629753
54,6,1.629774
55,7,1.629680
56,0,1.629775
57,1,1.629748
58,2,1.629838
59,3,1.629772
60,4,1.629688
61,5,1.629775
62,6,1.629707
63,7,1.629785
64,0,1.629798
65,1,1.629934
66,2,1.629751
67,3,1.629974
68,4,1.629692
69,5,1.629820
70,6,1.629717
71,7,1.629854
72,0,1.629623
73,1,1.629719
74,2,1.629699
75,3,1.629737
76,4,1.629753
77,5,1.629663
78,6,1.629838
79,7,1.629710
80,0,1.629780
81,1,1.630223
82,2,1.629648
83,3,1.629700
84,4,1.630032
85,5,1.629615
86,6,1.629874
87,7,1.630040
88,0,1.629716
89,1,1.629731
90,2,1.629710
91,3,1.629695
92,4,1.629766
93,5,1.629694
94,6,1.629751
95,7,1.629692
96,0,1.629738
97,1,1.629919
98,2,1.629720
99,3,1.629954
100,4,1.629784
101,5,1.629849
102,6,1.629744
103,7,1.629784
104,0,1.629705
105,1,1.629761
106,2,1.629727
107,3,1.629708
108,4,1.629694
109,5,1.629652
110,6,1.629757
111,7,1.629648
112,0,1.629732
113,1,1.629746
114,2,1.629832
115,3,1.629823
116,4,1.629883
117,5,1.629708
118,6,1.629946
119,7,1.629676
120,0,1.629828
121,1,1.630238
122,2,1.629449
123,3,1.629703
124,4,1.629970
125,5,1.629543
126,6,1.629650
127,7,1.630145
128,0,1.629655
129,1,1.629951
130,2,1.629726
131,3,1.629814
132,4,1.629773
133,5,1.629857
134,6,1.629747
135,7,1.629786
