indice,canal,tensao
0,0,1.769082
1,1,1.768956
2,0,1.769469
3,1,1.769712
4,0,1.768875
5,1,1.769745
6,0,1.769994
7,1,1.769559
8,0,1.769789
9,1,1.769482
10,0,1.769577
11,1,1.769511
12,0,1.769480
13,1,1.769663
14,0,1.770112
15,1,1.770237
16,0,1.769450
17,1,1.769007
18,0,1.770100
19,1,1.769237
20,0,1.769381
21,1,1.769402
22,0,1.768557
23,1,1.769431
24,0,1.769206
25,1,1.769716
26,0,1.769313
27,1,1.769767
28,0,1.769457
29,1,1.769315
30,0,1.769223
31,1,1.768366
32,0,1.768329
33,1,1.767496
34,0,1.766817
35,1,1.766853
36,0,1.766707
37,1,1.767160
38,0,1.767033
39,1,1.767256
40,0,1.767337
41,1,1.767180
42,0,1.766842
43,1,1.766988
44,0,1.767218
45,1,1.766881
46,0,1.766538
47,1,1.766582
48,0,1.767697
49,1,1.767212
50,0,1.766668
51,1,1.767141
52,0,1.767385
53,1,1.766510
54,0,1.766514
55,1,1.766610
56,0,1.766815
57,1,1.766123
58,0,1.766101
59,1,1.766629
60,0,1.766137
61,1,1.766121
62,0,1.766536
63,1,1.766125
64,0,1.766248
65,1,1.766438
66,0,1.766125
67,1,1.766238
68,0,1.766660
69,1,1.765847
70,0,1.766511
71,1,1.766447
72,0,1.765913
73,1,1.766491
74,0,1.765891
75,1,1.765791
76,0,1.766053
77,1,1.766508
78,0,1.765825
79,1,1.766258
80,0,1.766679
81,1,1.766483
82,0,1.766833
83,1,1.766190
84,0,1.766379
85,1,1.766652
86,0,1.767328
87,1,1.766480
88,0,1.765827
89,1,1.765914
90,0,1.766187
91,1,1.766000
92,0,1.766019
93,1,1.766640
94,0,1.766452
95,1,1.766645
96,0,1.766777
97,1,1.766565
98,0,1.766826
99,1,1.766212
100,0,1.766706
101,1,1.766281
102,0,1.765529
103,1,1.765392
104,0,1.765186
105,1,1.765754
106,0,1.765653
107,1,1.765092
108,0,1.765351
109,1,1.765391
110,0,1.765115
111,1,1.765144
112,0,1.765617
113,1,1.765335
114,0,1.765833
115,1,1.764984
116,0,1.765369
117,1,1.764982
118,0,1.765214
119,1,1.765043
120,0,1.764789
121,1,1.765431
122,0,1.765036
123,1,1.765336
124,0,1.765434
125,1,1.765162
126,0,1.765007
127,1,1.765468
128,0,1.764957
129,1,1.764385
130,0,1.764888
131,1,1.764602
132,0,1.764532
133,1,1.764426
134,0,1.764476
135,1,1.765024
136,0,1.764692
137,1,1.764945
138,0,1.764627
139,1,1.765291
140,0,1.765811
141,1,1.765834
142,0,1.765793
143,1,1.765268
144,0,1.764976
145,1,1.765341
146,0,1.765265
147,1,1.765381
148,0,1.765466
149,1,1.765403
150,0,1.764700
151,1,1.764548
152,0,1.765459
153,1,1.765020
154,0,1.765209
155,1,1.765146
156,0,1.765204
157,1,1.764687
158,0,1.765114
159,1,1.764960
160,0,1.764765
161,1,1.765349
162,0,1.765172
163,1,1.764788
164,0,1.765125
165,1,1.765887
166,0,1.765083
167,1,1.765494
168,0,1.765489
169,1,1.765397
170,0,1.764780
171,1,1.765435
172,0,1.765712
173,1,1.765427
174,0,1.765755
175,1,1.765549
176,0,1.765892
177,1,1.764976
178,0,1.764969
179,1,1.764907
180,0,1.764755
181,1,1.764917
182,0,1.765155
183,1,1.764662
184,0,1.765830
185,1,1.764922
186,0,1.765051
187,1,1.764926
188,0,1.765836
189,1,1.765631
190,0,1.765050
191,1,1.765196
192,0,1.765207
193,1,1.765310
194,0,1.764939
195,1,1.765644
196,0,1.764795
197,1,1.764511
198,0,1.765275
199,1,1.765541
200,0,1.764867
201,1,1.765036
202,0,1.765332
