indice,canal,tensao
240000,0,1.633677
240001,1,1.633715
240002,2,1.633689
240003,3,1.628038
240004,4,1.628035
240005,5,1.628061
240006,6,1.626146
240007,7,1.626116
240008,0,1.633706
240009,1,1.633731
240010,2,1.633686
240011,3,1.628028
240012,4,1.628056
240013,5,1.628052
240014,6,1.626140
240015,7,1.626113
240016,0,1.633717
240017,1,1.633705
240018,2,1.633671
240019,3,1.628044
240020,4,1.628063
240021,5,1.628052
240022,6,1.626149
240023,7,1.626124
240024,0,1.633716
240025,1,1.633695
240026,2,1.633660
240027,3,1.628062
240028,4,1.628062
240029,5,1.628061
240030,6,1.626146
240031,7,1.626149
240032,0,1.633692
240033,1,1.633673
240034,2,1.633667
240035,3,1.628067
240036,4,1.628062
240037,5,1.628052
240038,6,1.626158
240039,7,1.626136
240040,0,1.633688
240041,1,1.633647
240042,2,1.633680
240043,3,1.628063
240044,4,1.628071
240045,5,1.628040
240046,6,1.626185
240047,7,1.626126
240048,0,1.633686
240049,1,1.633660
240050,2,1.633703
240051,3,1.628067
240052,4,1.628058
240053,5,1.628072
240054,6,1.626180
240055,7,1.626120
240056,0,1.633667
240057,1,1.633680
240058,2,1.633694
240059,3,1.628069
240060,4,1.628060
240061,5,1.628079
240062,6,1.626177
240063,7,1.626106
240064,0,1.633655
240065,1,1.633680
240066,2,1.633698
240067,3,1.628075
240068,4,1.628073
240069,5,1.628093
240070,6,1.626152
240071,7,1.626097
240072,0,1.633666
240073,1,1.633685
240074,2,1.633691
240075,3,1.628069
240076,4,1.628078
240077,5,1.628082
240078,6,1.626146
240079,7,1.626074
240080,0,1.633680
240081,1,1.633690
240082,2,1.633682
240083,3,1.628059
240084,4,1.628101
240085,5,1.628065
240086,6,1.626120
240087,7,1.626085
240088,0,1.633680
240089,1,1.633697
240090,2,1.633688
240091,3,1.628085
240092,4,1.628097
240093,5,1.628058
240094,6,1.626093
240095,7,1.626109
240096,0,1.633695
240097,1,1.633700
240098,2,1.633692
240099,3,1.628109
240100,4,1.628092
240101,5,1.628039
240102,6,1.626121
240103,7,1.626111
240104,0,1.633691
240105,1,1.633695
240106,2,1.633725
240107,3,1.628106
240108,4,1.628060
240109,5,1.628029
240110,6,1.626143
240111,7,1.626122
240112,0,1.633689
240113,1,1.633695
240114,2,1.633725
240115,3,1.628093
240116,4,1.628052
240117,5,1.628020
240118,6,1.626144
240119,7,1.626119
240120,0,1.633700
240121,1,1.633705
240122,2,1.633744
240123,3,1.628062
240124,4,1.628041
240125,5,1.628041
240126,6,1.626151
240127,7,1.626118
240128,0,1.633696
240129,1,1.633722
240130,2,1.633726
240131,3,1.628073
240132,4,1.628039
240133,5,1.628047
240134,6,1.626154
240135,7,1.626118
240136,0,1.633692
240137,1,1.633736
240138,2,1.633710
240139,3,1.628054
240140,4,1.628041
240141,5,1.628067
240142,6,1.626142
240143,7,1.626117
240144,0,1.633713
240145,1,1.633729
240146,2,1.633692
240147,3,1.628041
240148,4,1.628054
240149,5,1.628040
240150,6,1.626155
240151,7,1.626120
240152,0,1.633728
240153,1,1.633720
240154,2,1.633684
240155,3,1.628050
240156,4,1.628051
240157,5,1.628050
240158,6,1.626153
240159,7,1.626134
240160,0,1.633713
240161,1,1.633690
240162,2,1.633670
240163,3,1.628058
240164,4,1.628064
240165,5,1.628072
240166,6,1.626138
240167,7,1.626138
240168,0,1.633718
240169,1,1.633680
240170,2,1.633665
240171,3,1.628063
240172,4,1.628059
240173,5,1.628059
240174,6,1.626154
240175,7,1.626143
240176,0,1.633683
240177,1,1.633660
240178,2,1.633679
240179,3,1.628072
240180,4,1.628058
240181,5,1.628057
