indice,canal,tensao
0,0,1.650377
1,1,1.650299
2,2,1.650631
3,3,1.641480
4,4,1.640978
5,5,1.641256
6,6,1.628421
7,7,1.628307
8,0,1.650764
9,1,1.650346
10,2,1.650618
11,3,1.641407
12,4,1.641458
13,5,1.641187
14,6,1.628276
15,7,1.628477
16,0,1.650544
17,1,1.650486
18,2,1.650434
19,3,1.641050
20,4,1.641498
21,5,1.640975
22,6,1.628616
23,7,1.628259
24,0,1.650617
25,1,1.650385
26,2,1.650329
27,3,1.641318
28,4,1.641186
29,5,1.641036
30,6,1.628559
31,7,1.628161
32,0,1.650623
33,1,1.650545
34,2,1.650679
35,3,1.640989
36,4,1.641146
37,5,1.641368
38,6,1.628444
39,7,1.628203
40,0,1.650454
41,1,1.651029
42,2,1.650257
43,3,1.640979
44,4,1.640862
45,5,1.641195
46,6,1.628327
47,7,1.628072
48,0,1.650168
49,1,1.650526
50,2,1.650360
51,3,1.640924
52,4,1.641374
53,5,1.640962
54,6,1.628445
55,7,1.628485
56,0,1.650392
57,1,1.650681
58,2,1.650256
59,3,1.641497
60,4,1.641223
61,5,1.641281
62,6,1.628656
63,7,1.628162
64,0,1.650677
65,1,1.650394
66,2,1.650651
67,3,1.641044
68,4,1.641327
69,5,1.641212
70,6,1.628401
71,7,1.628376
72,0,1.650385
73,1,1.650602
74,2,1.650273
75,3,1.641534
76,4,1.641157
77,5,1.641406
78,6,1.628308
79,7,1.628684
80,0,1.650301
81,1,1.651154
82,2,1.649910
83,3,1.641013
84,4,1.641176
85,5,1.641283
86,6,1.628036
87,7,1.628488
88,0,1.650187
89,1,1.650455
90,2,1.650142
91,3,1.641111
92,4,1.641457
93,5,1.640988
94,6,1.628425
95,7,1.628586
96,0,1.650229
97,1,1.650680
98,2,1.650308
99,3,1.641349
100,4,1.641004
101,5,1.641241
102,6,1.628661
103,7,1.628327
104,0,1.650382
105,1,1.650614
106,2,1.650600
107,3,1.641393
108,4,1.641308
109,5,1.640995
110,6,1.628311
111,7,1.628543
112,0,1.650579
113,1,1.650555
114,2,1.650304
115,3,1.641060
116,4,1.641111
117,5,1.641426
118,6,1.628256
119,7,1.628188
120,0,1.650491
121,1,1.651073
122,2,1.650280
123,3,1.640996
124,4,1.641104
125,5,1.641201
126,6,1.628160
127,7,1.628262
128,0,1.650538
129,1,1.650960
