indice,canal,tensao
160000,0,1.630152
160001,1,1.630108
160002,2,1.630074
160003,3,1.624402
160004,4,1.624495
160005,5,1.624432
160006,6,1.622573
160007,7,1.622544
160008,0,1.629951
160009,1,1.630029
160010,2,1.630012
160011,3,1.624394
160012,4,1.624452
160013,5,1.624479
160014,6,1.622642
160015,7,1.622560
160016,0,1.630031
160017,1,1.630058
160018,2,1.630051
160019,3,1.624380
160020,4,1.624413
160021,5,1.624485
160022,6,1.622680
160023,7,1.622574
160024,0,1.629862
160025,1,1.630023
160026,2,1.629987
160027,3,1.624480
160028,4,1.624515
160029,5,1.624534
160030,6,1.622360
160031,7,1.622428
160032,0,1.630151
160033,1,1.630148
160034,2,1.630183
160035,3,1.624590
160036,4,1.624491
160037,5,1.624204
160038,6,1.622601
160039,7,1.622627
160040,0,1.630257
160041,1,1.630476
160042,2,1.629669
160043,3,1.624137
160044,4,1.624481
160045,5,1.624454
160046,6,1.622543
160047,7,1.622485
160048,0,1.630009
160049,1,1.630076
160050,2,1.629921
160051,3,1.624341
160052,4,1.624432
160053,5,1.624323
160054,6,1.622592
160055,7,1.622570
160056,0,1.630041
160057,1,1.630076
160058,2,1.630203
160059,3,1.624548
160060,4,1.624640
160061,5,1.624381
160062,6,1.622593
160063,7,1.622579
160064,0,1.629959
160065,1,1.630078
160066,2,1.630082
160067,3,1.624503
160068,4,1.624497
160069,5,1.624399
160070,6,1.622642
160071,7,1.622536
160072,0,1.630136
160073,1,1.630094
160074,2,1.630096
160075,3,1.624539
160076,4,1.624463
160077,5,1.624426
160078,6,1.622604
160079,7,1.622587
160080,0,1.630160
160081,1,1.630440
160082,2,1.629824
160083,3,1.624286
160084,4,1.624334
160085,5,1.624305
160086,6,1.622541
160087,7,1.622511
160088,0,1.630010
160089,1,1.630080
160090,2,1.630045
160091,3,1.624481
160092,4,1.624584
160093,5,1.624419
160094,6,1.622659
160095,7,1.622627
160096,0,1.630120
160097,1,1.630158
160098,2,1.630182
160099,3,1.624440
160100,4,1.624429
160101,5,1.624436
160102,6,1.622639
160103,7,1.622589
160104,0,1.630079
160105,1,1.630023
160106,2,1.630085
160107,3,1.624402
160108,4,1.624383
160109,5,1.624313
160110,6,1.622582
160111,7,1.622484
160112,0,1.630098
160113,1,1.630209
160114,2,1.630203
160115,3,1.624554
160116,4,1.624532
160117,5,1.624361
160118,6,1.622477
160119,7,1.622562
160120,0,1.630112
160121,1,1.630483
160122,2,1.629842
160123,3,1.624385
160124,4,1.624486
160125,5,1.624327
160126,6,1.622498
160127,7,1.622308
160128,0,1.629937
160129,1,1.630358
160130,2,1.629897
160131,3,1.624376
160132,4,1.624357
160133,5,1.624377
160134,6,1.622530
160135,7,1.622443
160136,0,1.630075
160137,1,1.629985
160138,2,1.630067
160139,3,1.624470
160140,4,1.624517
160141,5,1.624413
160142,6,1.622624
160143,7,1.622607
160144,0,1.630080
160145,1,1.630087
160146,2,1.630030
160147,3,1.624418
160148,4,1.624420
160149,5,1.624408
160150,6,1.622627
160151,7,1.622648
160152,0,1.630057
160153,1,1.629974
160154,2,1.630028
160155,3,1.624452
160156,4,1.624371
160157,5,1.624408
160158,6,1.622570
160159,7,1.622422
160160,0,1.629946
160161,1,1.630325
160162,2,1.629686
160163,3,1.624140
160164,4,1.624359
160165,5,1.624296
160166,6,1.622540
160167,7,1.622304
160168,0,1.629851
160169,1,1.629858
160170,2,1.629999
160171,3,1.624383
160172,4,1.624560
160173,5,1.624327
160174,6,1.622632
160175,7,1.622691
160176,0,1.630155
160177,1,1.630162
160178,2,1.630143
160179,3,1.624597
160180,4,1.624556
160181,5,1.624475
160182,6,1.622639
160183,7,1.622540
160184,0,1.630061
160185,1,1.630013
160186,2,1.629975
160187,3,1.624334
160188,4,1.624336
160189,5,1.624292
160190,6,1.622424
160191,7,1.622376
160192,0,1.630020
160193,1,1.630086
160194,2,1.630126
160195,3,1.624503
160196,4,1.624560
160197,5,1.624432
160198,6,1.622571
160199,7,1.622561
160200,0,1.630096
160201,1,1.630378
160202,2,1.629733
160203,3,1.624203
160204,4,1.624315
160205,5,1.624256
160206,6,1.622467
160207,7,1.622394
160208,0,1.629958
160209,1,1.630031
160210,2,1.630073
160211,3,1.624426
160212,4,1.624542
160213,5,1.624283
160214,6,1.622583
160215,7,1.622687
160216,0,1.630143
160217,1,1.630126
160218,2,1.630134
160219,3,1.624581
160220,4,1.624529
160221,5,1.624469
160222,6,1.622674
160223,7,1.622654
160224,0,1.630171
160225,1,1.630157
160226,2,1.630116
160227,3,1.624469
160228,4,1.624469
160229,5,1.624372
160230,6,1.622564
160231,7,1.622452
160232,0,1.629989
160233,1,1.630085
160234,2,1.630057
160235,3,1.624348
160236,4,1.624441
160237,5,1.624389
160238,6,1.622346
160239,7,1.622418
160240,0,1.630079
160241,1,1.630359
160242,2,1.629838
160243,3,1.624300
160244,4,1.624259
160245,5,1.624364
160246,6,1.622398
160247,7,1.622275
160248,0,1.629738
160249,1,1.629870
160250,2,1.629850
160251,3,1.624264
160252,4,1.624515
160253,5,1.624210
160254,6,1.622401
160255,7,1.622354
160256,0,1.630001
160257,1,1.629906
160258,2,1.629916
160259,3,1.624385
160260,4,1.624467
160261,5,1.624379
160262,6,1.622560
160263,7,1.622621
160264,0,1.630198
160265,1,1.630188
160266,2,1.630169
160267,3,1.624534
160268,4,1.624508
160269,5,1.624421
160270,6,1.622732
160271,7,1.622646
160272,0,1.630155
160273,1,1.630145
160274,2,1.630091
160275,3,1.624594
160276,4,1.624526
160277,5,1.624423
160278,6,1.622598
160279,7,1.622552
160280,0,1.630068
160281,1,1.630459
160282,2,1.629732
160283,3,1.624274
160284,4,1.624348
160285,5,1.624236
160286,6,1.622357
160287,7,1.622357
160288,0,1.629925
160289,1,1.629926
160290,2,1.629912
160291,3,1.624161
