indice,canal,tensao
0,0,1.629719
1,1,1.629546
2,2,1.629413
3,3,1.624165
4,4,1.623850
5,5,1.624099
6,6,1.621962
7,7,1.622246
8,0,1.629450
9,1,1.629575
10,2,1.629629
11,3,1.623886
12,4,1.624050
13,5,1.623772
14,6,1.621982
15,7,1.622071
16,0,1.629410
17,1,1.629562
18,2,1.629671
19,3,1.623925
20,4,1.624116
21,5,1.623763
22,6,1.622013
23,7,1.622102
24,0,1.629441
25,1,1.629762
26,2,1.629643
27,3,1.623997
28,4,1.624123
29,5,1.623768
30,6,1.622269
31,7,1.621793
32,0,1.629710
33,1,1.629406
34,2,1.629668
35,3,1.623834
36,4,1.624023
37,5,1.623796
38,6,1.622323
39,7,1.621943
40,0,1.629718
41,1,1.629454
42,2,1.629135
43,3,1.623930
44,4,1.623787
45,5,1.623958
46,6,1.621710
47,7,1.622111
48,0,1.629363
49,1,1.629531
50,2,1.629278
51,3,1.624126
52,4,1.623806
53,5,1.624000
54,6,1.621885
55,7,1.621802
56,0,1.629785
57,1,1.629536
58,2,1.629562
59,3,1.624125
60,4,1.623995
61,5,1.624014
62,6,1.621978
63,7,1.622139
64,0,1.629637
65,1,1.629549
66,2,1.629474
67,3,1.623988
68,4,1.624129
69,5,1.623984
70,6,1.622028
71,7,1.622019
72,0,1.629730
73,1,1.629705
74,2,1.629418
75,3,1.623917
76,4,1.623913
77,5,1.623887
78,6,1.622120
79,7,1.621943
80,0,1.630009
81,1,1.629176
82,2,1.629372
83,3,1.623702
84,4,1.623977
85,5,1.623639
86,6,1.622378
87,7,1.621788
88,0,1.629505
89,1,1.629438
90,2,1.629667
91,3,1.623713
92,4,1.624180
93,5,1.623757
94,6,1.621991
95,7,1.622057
96,0,1.629460
97,1,1.629567
98,2,1.629509
99,3,1.624177
100,4,1.623847
101,5,1.624030
102,6,1.621982
103,7,1.622168
104,0,1.629564
105,1,1.629419
106,2,1.629755
107,3,1.623940
108,4,1.624101
109,5,1.623862
110,6,1.621963
111,7,1.622193
112,0,1.629622
113,1,1.629343
114,2,1.629648
115,3,1.623949
116,4,1.624035
117,5,1.623811
118,6,1.621875
119,7,1.622084
120,0,1.629996
121,1,1.629158
122,2,1.629449
123,3,1.623800
124,4,1.623853
125,5,1.623875
126,6,1.622109
127,7,1.622025
128,0,1.629611
129,1,1.629479
130,2,1.629522
131,3,1.623926
132,4,1.623889
133,5,1.623979
134,6,1.622191
135,7,1.622025
136,0,1.629552
137,1,1.629823
138,2,1.629525
139,3,1.623982
140,4,1.623996
141,5,1.623957
142,6,1.622135
143,7,1.621953
144,0,1.629656
145,1,1.629717
146,2,1.629577
147,3,1.623793
148,4,1.624081
149,5,1.623729
150,6,1.622270
151,7,1.622027
152,0,1.629430
153,1,1.629651
154,2,1.629556
155,3,1.623830
156,4,1.624193
157,5,1.623667
158,6,1.622223
159,7,1.621978
160,0,1.629703
161,1,1.629185
162,2,1.629511
163,3,1.623598
164,4,1.624026
165,5,1.623807
166,6,1.621951
167,7,1.622069
168,0,1.629415
169,1,1.629425
170,2,1.629555
171,3,1.624101
172,4,1.624250
173,5,1.623955
174,6,1.622014
175,7,1.621938
176,0,1.629719
177,1,1.629445
178,2,1.629816
179,3,1.623856
180,4,1.624062
181,5,1.623929
182,6,1.622165
183,7,1.621971
184,0,1.629698
185,1,1.629633
186,2,1.629487
187,3,1.624013
188,4,1.624206
189,5,1.623940
190,6,1.622036
191,7,1.621988
192,0,1.629792
193,1,1.629658
194,2,1.629489
195,3,1.623897
196,4,1.624019
197,5,1.623935
198,6,1.621950
199,7,1.622059
200,0,1.629804
201,1,1.629248
202,2,1.629456
203,3,1.623902
204,4,1.623726
205,5,1.623943
206,6,1.622017
207,7,1.621930
208,0,1.629518
209,1,1.629367
210,2,1.629574
211,3,1.623980
212,4,1.624280
213,5,1.623648
214,6,1.622255
215,7,1.621952
216,0,1.629456
217,1,1.629779
218,2,1.629463
219,3,1.624208
220,4,1.623831
221,5,1.623903
222,6,1.622182
223,7,1.621976
224,0,1.629562
225,1,1.629671
226,2,1.629372
227,3,1.624132
228,4,1.623840
229,5,1.623943
230,6,1.622177
231,7,1.621965
232,0,1.629602
233,1,1.629541
234,2,1.629544
235,3,1.624100
236,4,1.623984
237,5,1.623856
238,6,1.622189
239,7,1.622165
240,0,1.629594
241,1,1.629293
242,2,1.629486
243,3,1.623800
244,4,1.623764
245,5,1.623885
246,6,1.622053
247,7,1.621922
248,0,1.629543
249,1,1.629305
250,2,1.629599
251,3,1.623995
252,4,1.624365
253,5,1.623666
254,6,1.621879
255,7,1.622123
256,0,1.629784
257,1,1.629476
258,2,1.629688
259,3,1.623981
260,4,1.623960
261,5,1.624103
262,6,1.622176
263,7,1.622091
264,0,1.629546
265,1,1.629807
266,2,1.629372
267,3,1.624088
268,4,1.623893
269,5,1.623955
270,6,1.622018
271,7,1.621923
272,0,1.629726
273,1,1.629630
274,2,1.629481
275,3,1.624123
276,4,1.624058
277,5,1.623785
278,6,1.622094
279,7,1.622198
280,0,1.629619
281,1,1.629229
282,2,1.629503
283,3,1.623667
284,4,1.623826
285,5,1.623797
286,6,1.622002
287,7,1.621765
288,0,1.629484
289,1,1.629593
290,2,1.629367
291,3,1.624092
292,4,1.624095
293,5,1.623886
294,6,1.622211
295,7,1.621889
296,0,1.629738
297,1,1.629367
298,2,1.629846
299,3,1.623953
300,4,1.623981
301,5,1.623921
302,6,1.622016
303,7,1.621990
304,0,1.629738
305,1,1.629601
306,2,1.629432
307,3,1.624175
308,4,1.623963
309,5,1.623822
310,6,1.622074
311,7,1.622204
312,0,1.629645
313,1,1.629503
314,2,1.629642
315,3,1.624030
316,4,1.623987
317,5,1.623873
318,6,1.622092
319,7,1.621923
320,0,1.629801
321,1,1.629506
322,2,1.629411
323,3,1.623849
324,4,1.623807
325,5,1.623937
326,6,1.622069
327,7,1.621909
328,0,1.629491
329,1,1.629902
330,2,1.629339
331,3,1.623968
332,4,1.624078
333,5,1.623850
334,6,1.621969
335,7,1.622028
336,0,1.629689
337,1,1.629500
338,2,1.629756
339,3,1.623898
340,4,1.623881
341,5,1.623966
342,6,1.621916
343,7,1.621928
344,0,1.629640
345,1,1.629533
346,2,1.629633
347,3,1.624022
348,4,1.623768
349,5,1.623967
350,6,1.621952
351,7,1.621987
352,0,1.629669
353,1,1.629575
354,2,1.629415
355,3,1.623864
356,4,1.624089
357,5,1.623783
358,6,1.622155
359,7,1.622203
360,0,1.629668
361,1,1.629349
362,2,1.629490
363,3,1.623828
364,4,1.623828
365,5,1.623820
366,6,1.621903
367,7,1.622058
368,0,1.629515
369,1,1.629479
370,2,1.629344
371,3,1.623885
372,4,1.624424
373,5,1.623702
374,6,1.621922
375,7,1.622229
376,0,1.629429
377,1,1.629627
378,2,1.629703
379,3,1.623842
380,4,1.624002
381,5,1.624010
382,6,1.622058
383,7,1.621917
384,0,1.629830
385,1,1.629364
386,2,1.629668
387,3,1.624117
388,4,1.624036
389,5,1.623904
390,6,1.622211
391,7,1.622123
392,0,1.629552
393,1,1.629550
394,2,1.629717
395,3,1.623894
396,4,1.623865
397,5,1.623980
398,6,1.621935
399,7,1.622247
400,0,1.629863
401,1,1.629165
402,2,1.629537
403,3,1.623888
404,4,1.623704
405,5,1.623933
406,6,1.622136
407,7,1.621839
408,0,1.629505
409,1,1.629482
410,2,1.629468
411,3,1.623826
412,4,1.624363
413,5,1.623813
414,6,1.621998
415,7,1.621871
416,0,1.629544
417,1,1.629656
418,2,1.629487
419,3,1.623887
420,4,1.624084
421,5,1.623744
422,6,1.621951
423,7,1.622213
424,0,1.629505
425,1,1.629406
426,2,1.629697
427,3,1.623995
428,4,1.623967
429,5,1.623924
430,6,1.621940
431,7,1.622182
432,0,1.629683
433,1,1.629554
434,2,1.629394
435,3,1.624185
436,4,1.623994
437,5,1.623756
438,6,1.622154
439,7,1.622127
440,0,1.629850
441,1,1.629168
442,2,1.629244
443,3,1.624002
444,4,1.623874
445,5,1.623920
446,6,1.622183
447,7,1.621751
448,0,1.629574
449,1,1.629358
450,2,1.629474
451,3,1.624072
452,4,1.623803
453,5,1.624032
454,6,1.622224
455,7,1.621884
456,0,1.629655
457,1,1.629739
458,2,1.629751
459,3,1.623982
460,4,1.623958
461,5,1.623939
462,6,1.621912
463,7,1.621969
464,0,1.629751
465,1,1.629638
466,2,1.629515
467,3,1.624125
468,4,1.624055
469,5,1.623844
470,6,1.622061
471,7,1.622095
472,0,1.629741
473,1,1.629558
474,2,1.629583
475,3,1.624064
476,4,1.624026
477,5,1.623802
478,6,1.622007
479,7,1.622083
480,0,1.629642
481,1,1.629322
482,2,1.629474
483,3,1.623777
484,4,1.623688
485,5,1.623849
486,6,1.622251
487,7,1.621854
488,0,1.629287
489,1,1.629573
490,2,1.629421
491,3,1.623932
492,4,1.624390
493,5,1.623812
494,6,1.621851
495,7,1.622140
496,0,1.629660
497,1,1.629471
498,2,1.629696
499,3,1.623927
500,4,1.623876
501,5,1.623862
502,6,1.621942
503,7,1.621986
504,0,1.629761
505,1,1.629366
506,2,1.629676
507,3,1.623939
508,4,1.624011
509,5,1.623936
510,6,1.622160
511,7,1.622018
512,0,1.629544
513,1,1.629434
514,2,1.629643
515,3,1.623992
516,4,1.623851
517,5,1.623932
518,6,1.622268
519,7,1.622031
520,0,1.629838
521,1,1.629518
522,2,1.629409
523,3,1.623760
524,4,1.623828
525,5,1.623932
526,6,1.622341
527,7,1.622025
528,0,1.629308
529,1,1.629530
530,2,1.629581
531,3,1.623804
532,4,1.624390
533,5,1.623892
534,6,1.621926
535,7,1.622007
536,0,1.629699
537,1,1.629440
538,2,1.629647
539,3,1.623935
540,4,1.623827
541,5,1.623994
542,6,1.622100
543,7,1.621950
544,0,1.629613
545,1,1.629695
546,2,1.629395
547,3,1.624014
548,4,1.623871
549,5,1.623762
550,6,1.622044
551,7,1.622187
552,0,1.629406
553,1,1.629628
554,2,1.629612
555,3,1.623811
556,4,1.624145
557,5,1.623773
558,6,1.622130
559,7,1.621911
560,0,1.629780
561,1,1.629355
562,2,1.629459
563,3,1.623636
564,4,1.624002
565,5,1.623750
566,6,1.622009
567,7,1.622046
568,0,1.629499
569,1,1.629446
570,2,1.629609
571,3,1.623765
572,4,1.624405
573,5,1.623908
574,6,1.621798
575,7,1.622062
576,0,1.629819
577,1,1.629686
578,2,1.629434
579,3,1.624045
580,4,1.624139
581,5,1.623814
582,6,1.622037
583,7,1.622165
584,0,1.629573
585,1,1.629438
586,2,1.629617
587,3,1.624115
588,4,1.623792
589,5,1.624039
590,6,1.622069
591,7,1.621894
592,0,1.629723
593,1,1.629746
