indice,canal,tensao
0,0,1.629621
1,1,1.629685
2,2,1.629641
3,3,1.629620
4,4,1.629613
5,5,1.629551
6,6,1.629546
7,7,1.629558
8,0,1.629636
9,1,1.629675
10,2,1.629670
11,3,1.629599
12,4,1.629607
13,5,1.629611
14,6,1.629655
15,7,1.629605
16,0,1.629667
17,1,1.629674
18,2,1.629626
19,3,1.629611
20,4,1.629602
21,5,1.629587
22,6,1.629606
23,7,1.629578
24,0,1.629618
25,1,1.629629
26,2,1.629605
27,3,1.629638
28,4,1.629671
29,5,1.629656
30,6,1.629618
31,7,1.629560
32,0,1.629613
33,1,1.629619
34,2,1.629645
35,3,1.629642
36,4,1.629614
37,5,1.629592
38,6,1.629556
39,7,1.629515
40,0,1.629623
41,1,1.629647
42,2,1.629664
43,3,1.629691
44,4,1.629578
45,5,1.629644
46,6,1.629578
47,7,1.629511
48,0,1.629599
49,1,1.629636
50,2,1.629629
51,3,1.629612
52,4,1.629602
53,5,1.629567
54,6,1.629574
55,7,1.629587
56,0,1.629662
57,1,1.629623
58,2,1.629664
59,3,1.629574
60,4,1.629598
61,5,1.629550
62,6,1.629609
63,7,1.629563
64,0,1.629639
65,1,1.629629
66,2,1.629620
67,3,1.629610
68,4,1.629594
69,5,1.629617
70,6,1.629607
71,7,1.629582
72,0,1.629602
73,1,1.629641
74,2,1.629601
75,3,1.629574
76,4,1.629610
77,5,1.629598
78,6,1.629595
79,7,1.629524
80,0,1.629642
81,1,1.629620
82,2,1.629626
83,3,1.629663
84,4,1.629617
85,5,1.629636
86,6,1.629590
87,7,1.629537
88,0,1.629642
89,1,1.629611
90,2,1.629625
91,3,1.629588
92,4,1.629627
93,5,1.629589
94,6,1.629591
95,7,1.629553
96,0,1.629611
97,1,1.629694
98,2,1.629661
99,3,1.629646
100,4,1.629619
101,5,1.629608
102,6,1.629540
103,7,1.629530
104,0,1.629620
105,1,1.629602
106,2,1.629615
107,3,1.629637
108,4,1.629623
109,5,1.629627
110,6,1.629623
111,7,1.629574
112,0,1.629633
113,1,1.629606
114,2,1.629647
115,3,1.629587
116,4,1.629620
117,5,1.629593
118,6,1.629559
119,7,1.629543
120,0,1.629612
121,1,1.629629
122,2,1.629671
123,3,1.629645
124,4,1.629582
125,5,1.629626
126,6,1.629623
127,7,1.629546
128,0,1.629624
129,1,1.629658
130,2,1.629598
131,3,1.629611
132,4,1.629591
133,5,1.629615
134,6,1.629584
135,7,1.629547
136,0,1.629624
137,1,1.629643
138,2,1.629617
139,3,1.629642
140,4,1.629652
141,5,1.629597
142,6,1.629595
143,7,1.629556
144,0,1.629624
145,1,1.629627
146,2,1.629602
147,3,1.629600
148,4,1.629611
149,5,1.629602
150,6,1.629590
151,7,1.629553
152,0,1.629639
153,1,1.629669
154,2,1.629631
155,3,1.629636
156,4,1.629619
157,5,1.629598
158,6,1.629571
159,7,1.629549
160,0,1.629636
161,1,1.629626
162,2,1.629642
163,3,1.629641
164,4,1.629601
165,5,1.629598
166,6,1.629632
167,7,1.629561
168,0,1.629666
169,1,1.629621
170,2,1.629643
171,3,1.629605
172,4,1.629584
173,5,1.629596
174,6,1.629604
175,7,1.629564
176,0,1.629618
177,1,1.629623
178,2,1.629617
179,3,1.629647
180,4,1.629618
181,5,1.629595
182,6,1.629634
183,7,1.629587
184,0,1.629619
185,1,1.629646
186,2,1.629578
187,3,1.629603
188,4,1.629604
189,5,1.629581
190,6,1.629604
191,7,1.629553
192,0,1.629628
193,1,1.629617
194,2,1.629643
195,3,1.629676
196,4,1.629663
197,5,1.629611
198,6,1.629583
199,7,1.629540
200,0,1.629618
201,1,1.629583
202,2,1.629652
203,3,1.629640
204,4,1.629565
205,5,1.629598
206,6,1.629608
207,7,1.629568
208,0,1.629642
209,1,1.629676
210,2,1.629666
211,3,1.629614
212,4,1.629609
213,5,1.629574
214,6,1.629581
215,7,1.629530
216,0,1.629646
217,1,1.629635
218,2,1.629639
219,3,1.629636
220,4,1.629585
221,5,1.629599
222,6,1.629640
223,7,1.629583
224,0,1.629624
225,1,1.629638
226,2,1.629627
227,3,1.629604
228,4,1.629588
229,5,1.629594
230,6,1.629599
231,7,1.629577
232,0,1.629640
233,1,1.629612
234,2,1.629591
235,3,1.629622
236,4,1.629620
237,5,1.629642
238,6,1.629642
239,7,1.629546
240,0,1.629595
241,1,1.629623
242,2,1.629633
243,3,1.629634
244,4,1.629608
245,5,1.629602
246,6,1.629594
247,7,1.629547
248,0,1.629611
249,1,1.629643
250,2,1.629660
251,3,1.629632
252,4,1.629619
253,5,1.629630
254,6,1.629608
255,7,1.629549
256,0,1.629642
257,1,1.629643
258,2,1.629643
259,3,1.629608
260,4,1.629618
261,5,1.629609
262,6,1.629617
263,7,1.629574
264,0,1.629649
265,1,1.629677
266,2,1.629636
267,3,1.629613
268,4,1.629621
269,5,1.629606
270,6,1.629581
271,7,1.629567
272,0,1.629617
273,1,1.629651
274,2,1.629627
275,3,1.629606
276,4,1.629583
277,5,1.629623
278,6,1.629655
279,7,1.629546
280,0,1.629633
281,1,1.629597
282,2,1.629637
283,3,1.629624
284,4,1.629570
285,5,1.629619
286,6,1.629614
287,7,1.629585
288,0,1.629639
289,1,1.629644
290,2,1.629665
291,3,1.629620
292,4,1.629636
293,5,1.629624
294,6,1.629611
295,7,1.629545
296,0,1.629602
297,1,1.629611
298,2,1.629639
299,3,1.629617
300,4,1.629630
301,5,1.629598
302,6,1.629630
303,7,1.629561
304,0,1.629658
305,1,1.629687
306,2,1.629657
307,3,1.629654
308,4,1.629616
309,5,1.629595
310,6,1.629573
311,7,1.629547
312,0,1.629633
313,1,1.629646
314,2,1.629627
315,3,1.629616
316,4,1.629621
317,5,1.629602
318,6,1.629596
319,7,1.629593
320,0,1.629664
321,1,1.629648
322,2,1.629609
323,3,1.629646
324,4,1.629554
325,5,1.629620
326,6,1.629556
327,7,1.629550
328,0,1.629615
329,1,1.629616
330,2,1.629624
331,3,1.629612
332,4,1.629598
333,5,1.629614
334,6,1.629613
335,7,1.629598
336,0,1.629645
337,1,1.629609
338,2,1.629593
339,3,1.629620
340,4,1.629595
341,5,1.629630
342,6,1.629614
343,7,1.629612
344,0,1.629609
345,1,1.629618
346,2,1.629639
347,3,1.629658
348,4,1.629666
349,5,1.629596
350,6,1.629598
351,7,1.629523
352,0,1.629574
353,1,1.629617
354,2,1.629614
355,3,1.629633
356,4,1.629605
357,5,1.629598
358,6,1.629609
359,7,1.629548
360,0,1.629632
361,1,1.629646
362,2,1.629649
363,3,1.629668
364,4,1.629624
365,5,1.629624
366,6,1.629559
367,7,1.629551
368,0,1.629622
369,1,1.629664
370,2,1.629618
371,3,1.629627
372,4,1.629621
373,5,1.629584
374,6,1.629629
375,7,1.629600
376,0,1.629617
377,1,1.629623
378,2,1.629636
379,3,1.629576
380,4,1.629586
381,5,1.629603
382,6,1.629584
383,7,1.629569
384,0,1.629639
385,1,1.629592
386,2,1.629656
387,3,1.629581
388,4,1.629643
389,5,1.629654
390,6,1.629596
391,7,1.629568
392,0,1.629593
393,1,1.629612
394,2,1.629599
395,3,1.629612
396,4,1.629600
397,5,1.629598
398,6,1.629614
399,7,1.629573
400,0,1.629613
401,1,1.629658
402,2,1.629664
403,3,1.629654
404,4,1.629605
405,5,1.629587
406,6,1.629571
407,7,1.629540
408,0,1.629622
409,1,1.629637
410,2,1.629645
411,3,1.629629
412,4,1.629611
413,5,1.629592
414,6,1.629613
415,7,1.629570
416,0,1.629688
417,1,1.629670
418,2,1.629649
419,3,1.629602
420,4,1.629614
421,5,1.629544
422,6,1.629604
423,7,1.629555
424,0,1.629599
425,1,1.629663
426,2,1.629654
427,3,1.629632
428,4,1.629618
429,5,1.629607
430,6,1.629610
431,7,1.629556
432,0,1.629637
433,1,1.629601
434,2,1.629593
435,3,1.629563
436,4,1.629626
437,5,1.629630
438,6,1.629590
439,7,1.629546
440,0,1.629620
441,1,1.629643
442,2,1.629646
443,3,1.629705
